Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-21,208.19081115722656,156.56422424316406,289.40008544921875,421.6630554199219,223.7100067138672,175.8300018310547,299.1600036621094,444.3900146484375,227.0500030517578,177.16000366210938,300.1400146484375,446.4599914550781,220.99000549316406,174.32000732421875,294.8999938964844,440.67999267578125,221.0,174.66000366210938,298.8900146484375,444.3399963378906,2902200,7574900,28351200,88349800
2022-03-22,207.26014709472656,155.82518005371094,294.14019775390625,426.59710693359375,222.7100067138672,175.0,304.05999755859375,449.5899963378906,225.85000610351562,176.3699951171875,305.0,450.5799865722656,221.33999633789062,173.91000366210938,298.7699890136719,445.8599853515625,224.4600067138672,175.8300018310547,299.79998779296875,445.8599853515625,2461500,8442100,27599700,74650400
2022-03-23,206.75759887695312,155.23748779296875,289.71929931640625,421.1031494140625,222.1699981689453,174.33999633789062,299.489990234375,443.79998779296875,224.77999877929688,175.5399932861328,303.2300109863281,448.489990234375,221.69000244140625,174.08999633789062,297.7200012207031,443.7099914550781,221.69000244140625,175.22999572753906,300.510009765625,446.9100036621094,2001700,5254200,25715400,79426100
2022-03-24,206.79483032226562,156.0388946533203,294.1789245605469,427.4510498046875,222.2100067138672,175.24000549316406,304.1000061035156,450.489990234375,225.0,175.5399932861328,304.20001220703125,450.5,221.50999450683594,174.07000732421875,298.32000732421875,444.760009765625,222.5399932861328,175.0,299.1400146484375,445.94000244140625,2110900,5012300,24484500,64736900
2022-03-25,207.8650665283203,157.5347900390625,293.7726135253906,429.53851318359375,223.36000061035156,176.9199981689453,303.67999267578125,452.69000244140625,223.8000030517578,177.6999969482422,305.5,452.9800109863281,221.13999938964844,175.22000122070312,299.2900085449219,448.42999267578125,222.08999633789062,175.69000244140625,305.2300109863281,451.1600036621094,1581100,4809500,22566500,77101300
2022-03-28,206.4598388671875,158.34510803222656,300.5636291503906,432.5939025878906,221.85000610351562,177.8300018310547,310.70001220703125,455.9100036621094,222.67999267578125,178.17999267578125,310.79998779296875,455.9100036621094,219.0399932861328,176.35000610351562,304.3299865722656,450.05999755859375,222.33999633789062,176.64999389648438,304.3299865722656,452.05999755859375,3072500,5604200,29578200,68529800
2022-03-29,205.7059783935547,158.26495361328125,305.119873046875,437.9454040527344,221.0399932861328,177.74000549316406,315.4100036621094,461.54998779296875,221.42999267578125,179.39999389648438,315.82000732421875,462.07000732421875,216.5399932861328,176.8000030517578,309.04998779296875,457.17999267578125,220.8000030517578,178.6199951171875,313.9100036621094,460.0199890136719,3667800,5933400,30393400,86581500
2022-03-30,207.6044921875,159.91221618652344,303.6204833984375,435.24114990234375,223.0800018310547,179.58999633789062,313.8599853515625,458.70001220703125,225.8800048828125,179.86000061035156,315.95001220703125,461.20001220703125,220.6999969482422,177.67999267578125,311.5799865722656,456.4700012207031,222.0,178.44000244140625,313.760009765625,460.3399963378906,2507400,6277600,28163600,79666900
2022-03-31,207.36251831054688,157.8108367919922,298.2515563964844,428.542236328125,222.82000732421875,177.22999572753906,308.30999755859375,451.6400146484375,225.19000244140625,180.2100067138672,315.1400146484375,458.760009765625,222.42999267578125,176.97999572753906,307.8900146484375,451.1600036621094,223.2100067138672,179.58999633789062,313.8999938964844,457.8900146484375,3152100,11490400,33422100,121699900
2022-04-01,204.52410888671875,158.66561889648438,299.325439453125,429.7567443847656,219.77000427246094,178.19000244140625,309.4200134277344,452.9200134277344,225.52000427246094,178.42999267578125,310.1300048828125,453.4599914550781,218.1699981689453,175.60000610351562,305.5400085449219,449.1400146484375,224.35000610351562,177.0500030517578,309.3699951171875,453.30999755859375,2618300,6525600,27110500,89048800
2022-04-04,205.49195861816406,157.1341094970703,304.6943054199219,433.4383239746094,220.80999755859375,176.47000122070312,314.9700012207031,456.79998779296875,221.35000610351562,178.19000244140625,315.1099853515625,456.9100036621094,216.60000610351562,175.52000427246094,309.7099914550781,452.260009765625,219.16000366210938,178.19000244140625,310.0899963378906,453.1300048828125,2181300,6860600,24289600,59601000
2022-04-05,201.03424072265625,158.14918518066406,300.7377014160156,427.9634094238281,216.02000427246094,177.61000061035156,310.8800048828125,451.0299987792969,222.3699951171875,179.64999389648438,314.8699951171875,457.8299865722656,215.13999938964844,176.2899932861328,309.8699951171875,449.82000732421875,220.0,176.47000122070312,313.2699890136719,455.2200012207031,3582100,7446100,23156700,74214500
